Source,Target,Type,Id,Label,Weight,batchname
2320584,waffler22,Directed,5027,,1,waffler22_2
waffler22,ooof,Directed,8301,,2,ooof_2
waffler22,wangxm,Directed,8361,,2,waffler22_1
waffler22,wuzhiwo,Directed,8369,,2,waffler22_1
waffler22,1989jasmine,Directed,8142,,1,waffler22_1
waffler22,24hour,Directed,8143,,1,waffler22_1
waffler22,adingwang,Directed,8148,,1,waffler22_1
waffler22,ailibuli,Directed,8149,,1,waffler22_1
waffler22,amoiist,Directed,8153,,1,waffler22_1
waffler22,aq_qdai,Directed,8155,,1,waffler22_1
waffler22,barcalan,Directed,8163,,1,waffler22_1
waffler22,bilizhenren,Directed,8166,,1,waffler22_1
waffler22,cameralife2011,Directed,8176,,1,waffler22_1
waffler22,caonibird,Directed,8177,,1,waffler22_1
waffler22,chengxiao,Directed,8180,,1,waffler22_1
waffler22,chenqitang,Directed,8182,,1,waffler22_1
waffler22,dakan,Directed,8189,,1,waffler22_1
waffler22,doosood,Directed,8195,,1,waffler22_1
waffler22,doufuru,Directed,8196,,1,waffler22_1
waffler22,ebuluo,Directed,8202,,1,waffler22_1
waffler22,ericweek,Directed,8205,,1,waffler22_1
waffler22,faydao,Directed,8207,,1,waffler22_1
waffler22,feixiangdiyiba,Directed,8208,,1,waffler22_1
waffler22,fenng,Directed,8210,,1,waffler22_1
waffler22,flyshow,Directed,8213,,1,waffler22_1
waffler22,fly_hakka,Directed,8214,,1,waffler22_1
waffler22,foxmuldery,Directed,8215,,1,waffler22_1
waffler22,frankfang,Directed,8216,,1,waffler22_1
waffler22,frankzhen,Directed,8217,,1,waffler22_1
waffler22,funpea,Directed,8219,,1,waffler22_1
waffler22,geekinmedia,Directed,8221,,1,waffler22_1
waffler22,gongchen713,Directed,8224,,1,waffler22_1
waffler22,guangzhui,Directed,8226,,1,waffler22_1
waffler22,guao,Directed,8227,,1,waffler22_1
waffler22,hintendo,Directed,8235,,1,waffler22_1
waffler22,hnjhj,Directed,8236,,1,waffler22_1
waffler22,hsqianshuiting,Directed,8239,,1,waffler22_1
waffler22,huangagou,Directed,8240,,1,waffler22_1
waffler22,huubby,Directed,8243,,1,waffler22_1
waffler22,huyong,Directed,8244,,1,waffler22_1
waffler22,im_wower,Directed,8248,,1,waffler22_1
waffler22,isaac,Directed,8249,,1,waffler22_1
waffler22,jessie0816,Directed,8252,,1,waffler22_1
waffler22,jujiu76,Directed,8254,,1,waffler22_1
waffler22,karenmeu,Directed,8258,,1,waffler22_1
waffler22,keso,Directed,8260,,1,waffler22_1
